JobID,AllocCPUS,Elapsed,MaxMemoryUsed,MaxRSS,NumFiles,Node
1869463,14,09:15:59,192GB,187728100K,100,cx21
1869492,14,10:30:17,346GB,338206368K,100,cx31
1869511,14,10:02:55,287GB,280055772K,100,cx32
1869761,14,11:17:50,283GB,276039448K,100,cx21
1870173,14,12:38:39,440GB,429308948K,100,cx23
1870174,14,12:43:13,410GB,400747528K,100,cx32
1871022,14,13:21:45,371GB,362009488K,100,cx23
1871023,14,13:43:09,411GB,400955500K,100,cx24
1883319,14,13:51:59,364GB,355527012K,100,cx23
1883321,14,14:07:29,357GB,348341860K,100,cx24
1883323,14,16:30:13,334GB,326418252K,100,cx25
1890131,14,17:17:51,336GB,327631536K,100,cx22
1890408,14,17:43:21,470GB,459077744K,100,cx43
1891955,14,16:58:13,365GB,356849948K,100,cx43
1902668,14,19:25:57,409GB,399427512K,100,cx43
1902820,14,20:22:31,366GB,357848696K,100,cx43
1903936,14,19:42:27,353GB,344845492K,100,cx43
1904209,14,22:05:10,373GB,364624580K,100,cx43
1909883,14,20:45:14,402GB,392067788K,100,cx43
1909889,14,20:21:53,431GB,411059.50M,100,cx43
1911397,14,1-02:36:38,396GB,386968424K,125,cx21
